titulo, director, genero, lanzamiento, duracion
El Gran Hotel Budapest, Wes Anderson, Comedia, 2014, 99
Big Fish, Tim Burton, Drama, 2003, 125
Animales Fantasticos y donde encontrarlos, David Yates, Ciencia ficcion, 2016, 132
El secreto de sus ojos, Juan Jose Campanella, Drama, 2009, 129
El Faro, Robert Eggers, Terror, 2019, 109
Sin lugar para los debiles, Joel Coen, Accion, 2007, 122
Rapidos y Furiosos 7, James Wan, Accion, 2015, 137
Heroes, Lixin Fan, Documental, 2009, 87
La noche mas oscura, Kathryn Bigelow, Accion, 2012, 157
El Gran Truco, Christopher Nolan, Drama, 2006, 130
Matrix Reloaded, Lana Wachowski, Ciencia ficcion, 2003, 138
Diamante de Sangre, Edward Zwick, Accion, 2006, 143
Los Miserables, Tom Hooper, Drama, 2012, 158
Infiltrados, Martin Scorsese, Drama, 2006, 151
Soy Leyenda, Francis Lawrence, Ciencia ficcion, 2007, 101
El Artista, Michel Hazanavicius, Drama, 2011, 100
Logan, James Mangold, Accion, 2017, 137
El Planeta de los Simios: Confrontacion, Matt Reeves, Ciencia ficcion, 2014, 130
La Terminal, Steven Spielberg, Comedia, 2004, 128
Pequeña Miss Sunshine, Jonathan Dayton, Comedia, 2006, 101
El curioso caso de Benjamin Button, David Fincher, Drama, 2008, 166
Ex Machina, Alex Garland, Ciencia ficcion, 2014, 108
Amores Perros, Alejandro Gonzalez Iñarritu, Drama, 2000, 154
Argo, Ben Affleck, Drama, 2012, 120
The Shape of Water, Guillermo del Toro, Ciencia ficcion, 2017, 123
Perdida, David Fincher, Drama, 2014, 149
Todo Sobre Mi Madre, Pedro Almodovar, Drama, 1999, 101
Shutter Island, Martin Scorsese, Terror, 2010, 138
Los Vengadores, Joss Whedon, Accion, 2012, 143
Capitan America: El Soldado del Invierno, Anthony Russo, Accion, 2014, 136
El Hombre Araña, Sam Raimi, Accion, 2002, 121
Interestelar, Christopher Nolan, Ciencia ficcion, 2014, 169
Hugo, Martin Scorsese, Aventura, 2011, 126
Blade Runner 2049, Denis Villeneuve, Ciencia ficcion, 2017, 164
